4.0800, 7.9800, 9.0900, 9.1200, 2.6400, 2.1000, 0.1200, 6.0600, 0.4200, 9.8700
1.7400, 3.2700, 8.8200, 7.0500, 2.3700, 3.3900, 7.5900, 0.9000, 3.4800, 3.4200
7.5300, 7.3800, 4.5600, 4.8600, 0.3300, 1.2000, 0.3600, 3.8700, 9.2400, 9.7200
1.3500, 3.3000, 5.7300, 8.2200, 7.0800, 3.6000, 5.6100, 8.0700, 4.5000, 1.6200
9.1500, 5.0400, 1.1700, 7.9200, 1.7100, 1.0800, 8.3700, 7.8300, 5.1600, 3.7800
4.4100, 3.2100, 5.8200, 3.3600, 7.1100, 0.2100, 6.8700, 7.2000, 6.5100, 6.8400
5.4300, 4.2900, 3.7500, 9.0300, 0.0000, 7.7100, 4.1400, 7.3200, 7.7700, 6.9900
6.6600, 8.9400, 0.6300, 9.9600, 4.1100, 0.3900, 4.9200, 2.6700, 3.5400, 4.8300
4.2000, 0.5700, 7.1700, 1.9200, 0.1800, 2.7000, 5.7600, 8.6100, 7.1400, 7.8900
2.7600, 3.0300, 7.5600, 7.6500, 1.3800, 1.5000, 3.5700, 6.4800, 5.8800, 8.3400
5.1900, 6.9300, 5.0700, 9.8100, 2.8500, 6.3900, 5.5200, 7.4100, 4.3200, 0.8700
9.2700, 1.8600, 5.2200, 1.8300, 9.6900, 8.7600, 8.8500, 1.0200, 6.9000, 6.1500
3.8100, 2.9100, 0.4500, 8.4900, 9.4200, 2.1600, 2.2500, 5.0100, 4.1700, 8.7300
7.8000, 0.4800, 9.3600, 4.5300, 0.0300, 8.1900, 2.9400, 3.9000, 5.4900, 8.4600
1.4700, 9.8400, 5.9700, 1.4100, 8.7000, 5.4600, 2.8200, 9.3300, 9.5400, 2.7900
3.0600, 2.5200, 1.5900, 1.8000, 7.4700, 9.5700, 0.6900, 6.7800, 9.7800, 8.5500
5.6700, 3.7200, 0.7800, 7.7400, 6.3000, 8.0400, 3.6600, 0.5400, 5.7000, 8.2800
1.2900, 4.4400, 5.6400, 1.2300, 2.0100, 9.7500, 5.7900, 1.2600, 4.2300, 1.4400
6.7200, 9.4500, 3.1500, 5.9400, 6.1800, 0.6000, 0.9600, 2.4000, 4.2600, 2.4900
3.5100, 7.3500, 3.9300, 8.5800, 6.0300, 2.3100, 6.1200, 3.9600, 1.8900, 8.7900
8.2500, 8.1000, 8.0100, 8.4000, 1.7700, 0.2700, 1.9800, 4.6800, 6.3300, 2.8800
7.2600, 2.3400, 6.0000, 8.3100, 3.6900, 4.5900, 0.6600, 9.4800, 4.0200, 3.6300
6.6000, 2.5800, 6.6300, 5.9100, 0.0600, 8.9100, 9.9000, 3.9900, 5.2800, 6.8100
1.5300, 2.0400, 5.4000, 3.2400, 4.3500, 5.3400, 3.0000, 1.0500, 4.3800, 0.2400
7.9500, 8.9700, 6.5700, 9.6000, 2.1300, 6.4200, 2.6100, 2.4600, 0.8100, 5.1000
5.2500, 0.3000, 2.7300, 7.0200, 4.0500, 1.6500, 0.1500, 5.8500, 6.0900, 3.8400
0.9300, 5.5800, 9.0600, 2.4300, 3.0900, 5.1300, 1.5600, 2.0700, 6.4500, 0.7200
8.1600, 7.4400, 4.8000, 9.6600, 9.9300, 1.1100, 4.9800, 4.7400, 9.3900, 4.7100
0.0900, 6.2400, 6.3600, 8.4300, 6.2700, 4.6500, 4.7700, 3.3300, 5.5500, 5.3700
6.7500, 6.6900, 2.2800, 8.1300, 2.9700, 3.1200, 8.5200, 7.8600, 8.6400, 6.5400
1.9500, 0.5100, 9.3000, 9.5100, 7.6800, 4.4700, 5.3100, 3.4500, 9.2100, 0.8400
6.2100, 7.6200, 3.1800, 1.3200, 7.2300, 9.6300, 2.5500, 1.1400, 6.9600, 1.6800
0.7500, 9.1800, 8.8800, 8.6700, 2.1900, 7.5000, 7.2900, 2.2200, 9.0000, 0.9900
4.6200, 9.9900, 4.9500, 4.8900
